Country Name,Country Code,Year,Life Expectancy (Years),GDP/capita (USD),Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Rate/100000),2005-1010 crime rate ratio,BLcode,sex,agefrom,ageto,Percentage of No Schooling Attained in Pop,Percentage of Primary Schooling Attained in Pop,Percentage of Complete Primary Schooling Attained in Pop,Percentage of Secondary Schooling Attained in Pop,Percentage of Complete Secondary Schooling Attained in Pop,Percentage of Tertiary Schooling Attained in Pop,Percentage of Complete Tertiary Schooling Attained in Pop,Average Years of Schooling Attained,Average Years of Primary Schooling Attained,Average Years of Secondary Schooling Attained,Average Years of Tertirary Schooling Attained,Population (1000s),region_code
Morocco,MAR,2005,71.746,2018.02551269531,1.4703107646239744,,29,MF,15,19,35.12,22.91,22.91,38.07,12.08,3.9,0.76,5.5,3.24,2.16,0.09,3262,Middle East and North Africa
Morocco,MAR,2010,74.382,2839.92602539063,1.3330243999269349,0.9066276545066648,29,MF,15,19,24.67,23.27,23.27,47.76,15.76,4.3,0.83,6.79,4.52,2.16,0.1,3198,Middle East and North Africa
Maldives,MDV,2005,73.612,3640.0121322011,1.738730819167559,,315,MF,15,19,1.56,40.36,29.92,57.98,2.85,0.0,0.0,7.61,4.66,2.96,0.0,39,South Asia
Maldives,MDV,2010,75.905,7076.73982087196,2.098328140817216,1.206815981913646,315,MF,15,19,1.56,24.08,18.37,74.31,7.91,0.05,0.0,9.08,6.69,2.39,0.0,42,South Asia
Mexico,MEX,2005,75.3,8277.67156384567,11.597168847513382,,60,MF,15,19,1.22,12.37,8.5,83.14,36.4,3.26,0.0,9.66,5.81,3.78,0.07,10623,Latin America and the Caribbean
Mexico,MEX,2010,75.065,9271.39839576997,18.55368698916552,1.5998462411921963,60,MF,15,19,1.16,12.56,8.87,82.33,35.85,3.95,0.0,9.68,5.82,3.78,0.08,10968,Latin America and the Caribbean
Mali,MLI,2005,52.057,489.022855550956,8.213436135178727,,26,MF,15,19,56.64,26.36,14.15,16.48,1.78,0.52,0.1,2.83,2.24,0.58,0.01,1483,Sub-Saharan Africa
Mali,MLI,2010,55.251,710.274303600905,8.407962400114902,1.0236839078961126,26,MF,15,19,56.61,19.91,11.55,23.26,2.4,0.22,0.04,3.14,2.35,0.78,0.01,1749,Sub-Saharan Africa
Malta,MLT,2005,79.3,15888.1723209834,1.301956295231863,,120,MF,15,19,0.1,23.24,23.24,76.76,11.06,0.0,0.0,10.06,6.0,4.06,0.0,29,Middle East and North Africa
Malta,MLT,2010,81.3975609756098,21799.1742559798,1.328565978864661,1.020438231091359,120,MF,15,19,0.36,20.79,20.79,78.56,16.75,0.28,0.03,10.27,5.98,4.28,0.01,27,Middle East and North Africa
Myanmar,MMR,2005,61.607,216.311501416722,1.9008518665862328,,82,MF,15,19,10.04,61.03,36.94,18.23,8.77,10.69,2.08,5.7,3.9,1.55,0.26,5053,East Asia and the Pacific
Myanmar,MMR,2010,63.525,746.945359978558,1.5030650486594888,0.7907323422097403,82,MF,15,19,0.09,63.92,43.8,21.71,10.58,14.28,2.77,6.77,4.49,1.94,0.34,5362,East Asia and the Pacific
Mongolia,MNG,2005,65.103,998.829388045669,12.852041597571086,,316,MF,15,19,5.25,18.71,14.53,72.94,30.55,3.09,3.0,7.38,2.78,4.47,0.12,317,East Asia and the Pacific
Mongolia,MNG,2010,67.38,2643.28708316435,10.61014043958658,0.8255606985890706,316,MF,15,19,3.42,12.79,10.31,83.22,42.17,0.56,0.54,8.04,3.81,4.21,0.02,275,East Asia and the Pacific
Mozambique,MOZ,2005,50.387,416.809824183966,5.620580538547688,,30,MF,15,19,73.67,18.71,14.53,7.55,2.39,0.07,0.01,1.49,1.21,0.28,0.0,2172,Sub-Saharan Africa
Mozambique,MOZ,2010,52.31,471.904360009894,6.67643143336959,1.187854419588964,30,MF,15,19,52.42,30.22,24.35,17.24,5.69,0.11,0.02,3.76,3.13,0.64,0.0,2503,Sub-Saharan Africa
Mauritania,MRT,2005,61.349,970.842360719242,5.790298652342161,,27,MF,15,19,11.16,69.44,53.92,17.99,5.71,1.4,0.27,5.69,4.86,0.8,0.03,313,Sub-Saharan Africa
